date,atrct
2018-06-22 00:00:00,8.25
2018-06-23 00:00:00,11.125
2018-06-24 00:00:00,9.549999999999999
2018-06-25 00:00:00,8.25
2018-06-26 00:00:00,10.925
2018-06-27 00:00:00,17.025
2018-06-28 00:00:00,11.100000000000001
2018-06-29 00:00:00,7.866666666666666
2018-06-30 00:00:00,12.375
2018-07-01 00:00:00,8.133333333333333
2018-07-02 00:00:00,8.25
2018-07-03 00:00:00,17.475
2018-07-04 00:00:00,9.316666666666666
2018-07-05 00:00:00,12.899999999999999
2018-07-06 00:00:00,6.583333333333333
2018-07-07 00:00:00,7.633333333333334
2018-07-08 00:00:00,10.975
2018-07-09 00:00:00,8.666666666666666
2018-07-10 00:00:00,14.275000000000002
2018-07-11 00:00:00,16
2018-07-12 00:00:00,8.233333333333333
2018-07-13 00:00:00,13.274999999999999
2018-07-14 00:00:00,8.433333333333334
2018-07-15 00:00:00,13.45
2018-07-16 00:00:00,14.25
2018-07-17 00:00:00,11.125
2018-07-18 00:00:00,11.024999999999999
2018-07-19 00:00:00,7
2018-07-20 00:00:00,11.65
2018-07-21 00:00:00,8.933333333333334
2018-07-22 00:00:00,5.7
2018-07-23 00:00:00,10.225
2018-07-24 00:00:00,12.125
2018-07-25 00:00:00,10.350000000000001
2018-07-26 00:00:00,7.283333333333333
2018-07-27 00:00:00,10.425
2018-07-28 00:00:00,12.775000000000002
2018-07-29 00:00:00,7.8
2018-07-30 00:00:00,9.716666666666667
2018-07-31 00:00:00,8.466666666666667
2018-08-01 00:00:00,8.166666666666666
2018-08-02 00:00:00,12.95
2018-08-03 00:00:00,7.866666666666666
2018-08-04 00:00:00,6.05
2018-08-05 00:00:00,9.825
2018-08-06 00:00:00,14.45
2018-08-07 00:00:00,7.616666666666666
2018-08-08 00:00:00,8.433333333333334
2018-08-09 00:00:00,7.916666666666667
2018-08-10 00:00:00,6.283333333333333
2018-08-11 00:00:00,7.016666666666667
2018-08-12 00:00:00,7.783333333333333
2018-08-13 00:00:00,8.9
2018-08-14 00:00:00,9.433333333333334
2018-08-15 00:00:00,7.933333333333334
2018-08-16 00:00:00,8.25
